#layer  Play  Plev
1  1011.5  1013.0
2  1008.6  1010.1
3  1005.8  1007.2
4  1002.9  1004.3
5  1000.0  1001.4
6  997.1  998.5
7  994.2  995.7
8  991.4  992.8
9  988.5  990.0
10  985.7  987.1
11  982.9  984.3
12  980.0  981.4
13  977.2  978.6
14  974.4  975.8
15  971.6  973.0
16  968.8  970.2
17  966.0  967.4
18  963.2  964.6
19  960.4  961.8
20  957.6  959.0
21  954.8  956.2
22  952.0  953.4
23  949.3  950.7
24  946.5  947.9
25  943.8  945.1
26  941.0  942.4
27  938.3  939.6
28  935.5  936.9
29  932.8  934.2
30  930.1  931.4
31  927.4  928.7
32  924.7  926.0
33  922.0  923.3
34  919.3  920.6
35  916.6  917.9
36  913.9  915.2
37  911.2  912.5
38  908.5  909.9
39  905.9  907.2
40  903.2  904.5
41  900.5  901.9
42  897.9  899.2
43  895.2  896.6
44  892.6  893.9
45  890.0  891.3
46  887.4  888.7
47  884.7  886.0
48  882.1  883.4
49  879.5  880.8
50  876.9  878.2
51  874.3  875.6
52  871.7  873.0
53  869.1  870.4
54  866.6  867.8
55  864.0  865.3
56  861.4  862.7
57  858.9  860.1
58  856.3  857.6
59  853.7  855.0
60  851.2  852.5
61  848.7  849.9
62  846.1  847.4
63  843.6  844.9
64  841.1  842.3
65  838.6  839.8
66  836.1  837.3
67  833.6  834.8
68  831.1  832.3
69  828.6  829.8
70  826.1  827.3
71  823.6  824.8
72  821.1  822.4
73  818.7  819.9
74  816.2  817.4
75  813.7  815.0
76  811.3  812.5
77  808.8  810.1
78  806.4  807.6
79  804.0  805.2
80  801.5  802.7
81  799.1  800.3
82  796.7  797.9
83  794.3  795.5
84  791.9  793.1
85  789.5  790.7
86  787.1  788.3
87  784.7  785.9
88  782.3  783.5
89  779.9  781.1
90  777.5  778.7
91  775.2  776.4
92  772.8  774.0
93  770.5  771.6
94  768.1  769.3
95  765.8  766.9
96  763.4  764.6
97  761.1  762.2
98  758.7  759.9
99  756.4  757.6
100  754.1  755.3
101  751.8  752.9
102  749.5  750.6
103  747.2  748.3
104  744.9  746.0
105  742.6  743.7
106  740.3  741.4
107  738.0  739.2
108  735.7  736.9
109  733.5  734.6
110  731.2  732.3
111  728.9  730.1
112  726.7  727.8
113  724.4  725.6
114  722.2  723.3
115  720.0  721.1
116  717.7  718.8
117  715.5  716.6
118  713.3  714.4
119  711.1  712.2
120  708.8  709.9
121  706.6  707.7
122  704.4  705.5
123  702.2  703.3
124  700.0  701.1
125  697.9  699.0
126  695.7  696.8
127  693.5  694.6
128  691.3  692.4
129  689.2  690.2
130  687.0  688.1
131  684.8  685.9
132  682.7  683.8
133  680.6  681.6
134  678.4  679.5
135  676.3  677.3
136  674.1  675.2
137  672.0  673.1
138  669.9  671.0
139  667.8  668.8
140  665.7  666.7
141  663.6  664.6
142  661.5  662.5
143  659.4  660.4
144  657.3  658.3
145  655.2  656.3
146  653.1  654.2
147  651.1  652.1
148  649.0  650.0
149  646.9  648.0
150  644.9  645.9
151  642.8  643.8
152  640.8  641.8
153  638.7  639.7
154  636.7  637.7
155  634.6  635.7
156  632.6  633.6
157  630.6  631.6
158  628.6  629.6
159  626.6  627.6
160  624.5  625.6
161  622.5  623.5
162  620.5  621.5
163  618.6  619.5
164  616.6  617.6
165  614.6  615.6
166  612.6  613.6
167  610.6  611.6
168  608.7  609.6
169  606.7  607.7
170  604.7  605.7
171  602.8  603.7
172  600.8  601.8
173  598.9  599.8
174  596.9  597.9
175  595.0  596.0
176  593.1  594.0
177  591.1  592.1
178  589.2  590.2
179  587.3  588.3
180  585.4  586.4
181  583.5  584.5
182  581.6  582.6
183  579.7  580.7
184  577.8  578.8
185  576.0  576.9
186  574.1  575.0
187  572.2  573.1
188  570.3  571.3
189  568.5  569.4
190  566.6  567.6
191  564.8  565.7
192  562.9  563.9
193  561.1  562.0
194  559.3  560.2
195  557.4  558.4
196  555.6  556.5
197  553.8  554.7
198  552.0  552.9
199  550.2  551.1
200  548.4  549.3
201  546.6  547.5
202  544.8  545.7
203  543.0  543.9
204  541.2  542.1
205  539.4  540.3
206  537.7  538.5
207  535.9  536.8
208  534.1  535.0
209  532.4  533.3
210  530.6  531.5
211  528.9  529.8
212  527.1  528.0
213  525.4  526.3
214  523.7  524.5
215  521.9  522.8
216  520.2  521.1
217  518.5  519.4
218  516.8  517.6
219  515.1  515.9
220  513.4  514.2
221  511.7  512.5
222  510.0  510.8
223  508.3  509.1
224  506.6  507.5
225  504.9  505.8
226  503.3  504.1
227  501.6  502.4
228  499.9  500.8
229  1011.5  1013.0
230  1008.6  1010.1
231  1005.8  1007.2
232  1002.9  1004.3
233  1000.0  1001.4
234  997.1  998.5
235  994.2  995.7
236  991.4  992.8
237  988.5  990.0
238  985.7  987.1
239  982.9  984.3
240  980.0  981.4
241  977.2  978.6
242  974.4  975.8
243  971.6  973.0
244  968.8  970.2
245  966.0  967.4
246  963.2  964.6
247  960.4  961.8
248  957.6  959.0
249  954.8  956.2
250  952.0  953.4
251  949.3  950.7
252  946.5  947.9
253  943.8  945.1
254  941.0  942.4
255  938.3  939.6
256  935.5  936.9
257  932.8  934.2
258  930.1  931.4
259  927.4  928.7
260  924.7  926.0
261  922.0  923.3
262  919.3  920.6
263  916.6  917.9
264  913.9  915.2
265  911.2  912.5
