# pres  Tmin  Tmax  qmin  qmax
1.011588500000000058e+05 2.848019781178961694e+02 2.892587237373892890e+02 3.268222790211439133e-03 5.186079069972038269e-03
1.008691666666666715e+05 2.845738007887168806e+02 2.889727937699688596e+02 3.207371104508638382e-03 5.153504665940999985e-03
1.005798833333333314e+05 2.843665753073186693e+02 2.886987138751507587e+02 3.136747051030397415e-03 5.131154786795377731e-03
1.002960666666666657e+05 2.841349486885559941e+02 2.884391147420718653e+02 3.088437952101230621e-03 5.114515312016010284e-03
1.000075666666666657e+05 2.839193115234375000e+02 2.881749863367316493e+02 3.031748346984386444e-03 5.109338555485010147e-03
9.972406666666666570e+04 2.840182004606598412e+02 2.879243923818596613e+02 3.000702708959579468e-03 5.116756074130535126e-03
9.943991666666667152e+04 2.839870161830035613e+02 2.876763222370059339e+02 2.983770100399851799e-03 5.222044419497251511e-03
9.915411666666666861e+04 2.838348694769941289e+02 2.874209577941185785e+02 2.961812773719429970e-03 5.217164754867553711e-03
9.887125000000000000e+04 2.836747154905492039e+02 2.871760974068400856e+02 2.999654272571206093e-03 5.228272173553705215e-03
9.858914999999999418e+04 2.834950336960719142e+02 2.869343130783490210e+02 2.980279969051480293e-03 5.228917114436626434e-03
9.830751666666666279e+04 2.833010078294390155e+02 2.866940754780557654e+02 2.953693503513932228e-03 5.198454950004816055e-03
9.802513333333333139e+04 2.831227169235017413e+02 2.864538601734865324e+02 2.965280786156654358e-03 5.207910668104887009e-03
9.774416666666667152e+04 2.829195227382318762e+02 2.862131482334837642e+02 2.925883047282695770e-03 5.218926351517438889e-03
9.746373333333333721e+04 2.827080289056244737e+02 2.859717556469269653e+02 2.866465365514159203e-03 5.222295876592397690e-03
9.718371666666665988e+04 2.824934217978950528e+02 2.857306795438193490e+02 2.920718397945165634e-03 5.212521180510520935e-03
9.690403333333334012e+04 2.822735581932685704e+02 2.854892804683095164e+02 2.855553291738033295e-03 5.192390643060207367e-03
9.662458333333332848e+04 2.820449422048773158e+02 2.852477974429218079e+02 2.824755152687430382e-03 5.181569606065750122e-03
9.634693333333333430e+04 2.818184007058727047e+02 2.850111792093248368e+02 2.835513791069388390e-03 5.182888824492692947e-03
9.606938333333333139e+04 2.815981180761215228e+02 2.847814570848586300e+02 2.787950448691844940e-03 5.166647024452686310e-03
9.579108333333332848e+04 2.814014668082391495e+02 2.845415212364758872e+02 2.786871045827865601e-03 5.144366994500160217e-03
9.551550000000000000e+04 2.811856044007746505e+02 2.843080049230448481e+02 2.751133637502789497e-03 5.147979129105806351e-03
9.523844999999999709e+04 2.809511990096619343e+02 2.840651452807582018e+02 2.767206868156790733e-03 5.145488772541284561e-03
9.496444999999999709e+04 2.807117848586127593e+02 2.838299439410876062e+02 2.773762680590152740e-03 5.168905947357416153e-03
9.468776666666666279e+04 2.805134254025694531e+02 2.835839192428041429e+02 2.756171161308884621e-03 5.133357830345630646e-03
9.441508333333332848e+04 2.802964546847699125e+02 2.833441462658713021e+02 2.778613241389393806e-03 5.098440218716859818e-03
9.414130000000000291e+04 2.800838255168292221e+02 2.831063740382259084e+02 2.747853519394993782e-03 5.110997706651687622e-03
9.386833333333332848e+04 2.798574962147322367e+02 2.828678259846938658e+02 2.767660655081272125e-03 5.100887268781661987e-03
9.359423333333333721e+04 2.796264573048534317e+02 2.826367628812674866e+02 2.749764127656817436e-03 5.038877017796039581e-03
9.332269999999999709e+04 2.794518171553197021e+02 2.824036908943140247e+02 2.740578493103384972e-03 4.980068653821945190e-03
9.305168333333333430e+04 2.792497323295709748e+02 2.821693289814714944e+02 2.758066868409514427e-03 4.938783124089241028e-03
9.278111666666666861e+04 2.790217313477162975e+02 2.819360068813253406e+02 2.755926456302404404e-03 4.877000115811824799e-03
9.251089999999999418e+04 2.788407536286977688e+02 2.817032706430379676e+02 2.739592222496867180e-03 4.837630316615104675e-03
9.224101666666666279e+04 2.786277474275193526e+02 2.814644942778028280e+02 2.738410606980323792e-03 4.833353217691183090e-03
9.197338333333333139e+04 2.784107640073950165e+02 2.812171563652173631e+02 2.733794739469885826e-03 4.814001265913248062e-03
9.170468333333333430e+04 2.781736000676556273e+02 2.809859010750164430e+02 2.739592920988798141e-03 4.842047113925218582e-03
9.143601666666666279e+04 2.779738233425964040e+02 2.807458628644067176e+02 2.726531820371747017e-03 4.859718494117259979e-03
9.116816666666667152e+04 2.777500750882524017e+02 2.805053606447423817e+02 2.669822424650192261e-03 4.857264459133148193e-03
9.090200000000000000e+04 2.775284526270967262e+02 2.803075664157718165e+02 2.454434288665652275e-03 4.856275860220193863e-03
9.063558333333332848e+04 2.772989772516962717e+02 2.800991756257026850e+02 2.447410020977258682e-03 4.808960948139429092e-03
9.037041666666667152e+04 2.771160587499153394e+02 2.798906872941536790e+02 2.462220843881368637e-03 4.882459063082933426e-03
9.010394999999999709e+04 2.769015859047266872e+02 2.796659778002014605e+02 2.342584077268838882e-03 4.849219694733619690e-03
8.984064999999999418e+04 2.767152463631730370e+02 2.794366257222627041e+02 2.323288703337311745e-03 4.852228332310914993e-03
8.957698333333333721e+04 2.764552624004133463e+02 2.791921830978153594e+02 2.305343747138977051e-03 4.861547611653804779e-03
8.931226666666666279e+04 2.762172062932746712e+02 2.789659874575909271e+02 2.336558653041720390e-03 4.868822172284126282e-03
8.905039999999999418e+04 2.760210018947786352e+02 2.787197880964591832e+02 1.974940067157149315e-03 4.879044834524393082e-03
8.878839999999999418e+04 2.758250266707640890e+02 2.785049003115283313e+02 2.057439880445599556e-03 4.847274161875247955e-03
8.852655000000000291e+04 2.755922923395159501e+02 2.782480806166677212e+02 1.977947307750582695e-03 4.936837125569581985e-03
8.826563333333333139e+04 2.754149012370796754e+02 2.780389648632652211e+02 2.060617553070187569e-03 4.849635995924472809e-03
8.800516666666667152e+04 2.751425239744474425e+02 2.778249014919530850e+02 1.978155691176652908e-03 4.932390991598367691e-03
