# pres  Tmin  Tmax  qmin  qmax
1.010587597593583196e+05 2.938586770733004414e+02 2.998262784484492727e+02 9.167777392662413219e-03 1.846950298899399656e-02
1.001975234255451069e+05 2.938747830074235594e+02 2.993719389524315488e+02 8.884967170367123745e-03 1.811815661501939984e-02
9.926195082555287809e+04 2.936723604914711814e+02 2.988816166251035042e+02 8.845876692132848343e-03 1.773918696133948772e-02
9.819731640634713403e+04 2.934242497149815563e+02 2.983277021143206866e+02 8.903702711483380342e-03 1.731152931798069644e-02
9.699560007314942777e+04 2.928688272238034642e+02 2.977026851779915546e+02 8.907201391904387422e-03 1.703727536015066032e-02
9.560544409237254877e+04 2.919978887937970740e+02 2.969706671157886149e+02 8.721347272952153021e-03 1.667517700489785579e-02
9.398989320825497271e+04 2.910988655759559265e+02 2.961070661952138039e+02 8.461751161788761202e-03 1.630255528454043618e-02
9.208382565051957499e+04 2.898612791109295586e+02 2.950691040659608007e+02 8.160364837728015242e-03 1.574051470605743880e-02
8.975566141531293397e+04 2.882865191886546654e+02 2.937713478747904787e+02 7.647726963974560421e-03 1.513234663433914683e-02
8.696193643849510408e+04 2.867009228657447579e+02 2.921677077774619420e+02 7.108249739306769961e-03 1.435977640900171562e-02
8.360299478026246652e+04 2.846811868495715316e+02 2.901676697942958185e+02 6.505408761920080697e-03 1.319464684487429290e-02
7.979667205876599473e+04 2.824235303082279529e+02 2.877981611764710124e+02 5.414769326202140652e-03 1.241666951089524969e-02
7.559488324173926958e+04 2.798746661181082231e+02 2.850431054971044205e+02 4.569688060944894666e-03 1.119413037970517187e-02
7.118615616733681236e+04 2.771319631620451673e+02 2.823004015985205228e+02 3.913107298200397405e-03 1.017289457729267377e-02
6.695165581742093491e+04 2.743841816083240133e+02 2.795796369445543519e+02 3.351012270420415228e-03 8.954865909206376207e-03
6.292956760332478734e+04 2.714190175420507671e+02 2.770548964246174251e+02 2.641639263716724986e-03 8.004899940440273615e-03
5.911152384486452502e+04 2.689339864545165142e+02 2.748595149147526513e+02 2.090190667719203730e-03 6.828344787249319633e-03
5.548779610388464789e+04 2.659447700844157794e+02 2.724108898135473282e+02 1.589425847463534240e-03 6.205395707048704142e-03
5.204851360253216262e+04 2.630638215271145555e+02 2.700253982873441032e+02 1.039902643800580005e-03 5.427935663237608115e-03
4.878464921973777382e+04 2.601050930901272977e+02 2.672037338061203968e+02 7.807659377492145395e-04 4.690750795826707092e-03
4.568789782181789633e+04 2.568100149750087553e+02 2.642836071590022016e+02 5.279788037268461640e-04 4.036469859504895202e-03
4.275036713404559123e+04 2.533878352480149374e+02 2.612804305272345573e+02 4.182103672110535253e-04 3.174731713407472067e-03
3.996453654560640280e+04 2.499914967131748824e+02 2.579629685168976039e+02 2.929365108886038713e-04 2.485883780422947116e-03
3.732338727765306248e+04 2.464199905878404024e+02 2.543926847997093148e+02 2.657254853915380741e-04 2.002900207410842140e-03
3.482042070460548712e+04 2.426120271362894698e+02 2.507682074308857523e+02 2.020905266392986695e-04 1.511029147137951016e-03
3.244956705197300471e+04 2.387506952669944269e+02 2.470025144793094398e+02 1.850611646997008810e-04 1.151234443409478517e-03
3.020516425716114099e+04 2.348053396941513142e+02 2.432694776381567578e+02 1.355202729168361337e-04 8.969566204283070058e-04
2.808199790579341425e+04 2.303992540644618430e+02 2.393789824388458385e+02 4.236500586054391435e-05 7.057817410265778248e-04
2.607526299554869911e+04 2.258082319405917531e+02 2.355040549631525550e+02 3.935688545534917951e-05 5.388821775229731773e-04
2.418050581567407426e+04 2.216071610095367532e+02 2.317568392988776793e+02 1.488444168398370072e-05 3.927230516286533794e-04
2.239357928725214151e+04 2.170631985082034703e+02 2.279780264318148397e+02 3.109990327930080331e-06 2.837653473042946487e-04
2.071050140404839112e+04 2.126216046965352859e+02 2.241778378061259502e+02 3.109990327930080331e-06 2.032950039392842397e-04
1.912723941733362517e+04 2.077699683532216000e+02 2.205098582441946746e+02 3.109990327930080331e-06 1.416445647815880483e-04
1.763952033357518667e+04 2.035553502074299672e+02 2.168827135840766402e+02 3.109990327930080331e-06 9.857133177945787248e-05
1.624281172156855064e+04 1.991202180761848126e+02 2.130779425396920317e+02 3.109990327930080331e-06 6.671517197797339398e-05
1.493285300480572005e+04 1.950538458616454704e+02 2.094515354395400664e+02 3.109990327930080331e-06 4.595730392575424065e-05
1.370684493772106725e+04 1.902679036675846191e+02 2.061164652458417379e+02 3.109990327930080331e-06 3.464747811985429099e-05
1.256369693679280317e+04 1.858875936589775790e+02 2.038842201357931572e+02 3.109990327930080331e-06 3.132685659020858625e-05
1.150306822496198401e+04 1.831373150503360705e+02 2.027148963098175614e+02 3.109990327930080331e-06 3.423058586619418388e-05
1.052426347521091157e+04 1.773208993378082710e+02 2.030624988265655873e+02 3.109990327930080331e-06 3.715853638376218017e-05
9.625560486378024507e+03 1.864414762701161976e+02 2.036338752782237691e+02 3.109990327930080331e-06 3.884258939734670259e-05
8.804140143344478929e+03 1.886097171944443005e+02 2.040193334041231310e+02 3.109990327930080331e-06 2.534168336515374038e-05
8.056189130011222005e+03 1.899594800809899198e+02 2.041595515292716527e+02 3.109990327930080331e-06 1.315843555809093545e-05
7.377066612474770409e+03 1.919985687814996709e+02 2.044498305614440881e+02 3.109990327930080331e-06 4.391977995447944431e-06
6.761515263850656993e+03 1.952363743224572374e+02 2.043889734622021876e+02 3.109990327930080331e-06 3.109990327930080331e-06
6.203918703516923415e+03 1.975816078786772039e+02 2.042559676677773837e+02 3.109990327930080331e-06 3.109990327930080331e-06
5.698576783065641393e+03 1.994006909443016866e+02 2.047059185728025454e+02 3.109990327930080331e-06 3.109990327930080331e-06
5.239979413199379451e+03 2.014531749387838033e+02 2.080491244465661111e+02 3.109990327930080331e-06 3.109990327930080331e-06
4.823034504593342717e+03 2.019983341930418703e+02 2.107696843862296134e+02 3.109990327930080331e-06 3.109990327930080331e-06
4.443195622424173962e+03 2.023110151481365619e+02 2.134172192331536166e+02 3.109990327930080331e-06 3.109990327930080331e-06
4.096485249028612998e+03 2.025394969697772751e+02 2.159469222035186817e+02 3.109990327930080331e-06 3.109990327930080331e-06
3.779451661682053782e+03 2.019900195015568727e+02 2.177122393095981465e+02 3.109990327930080331e-06 3.109990327930080331e-06
3.489101556749206793e+03 2.023225524288055794e+02 2.194498990278059694e+02 3.109990327930080331e-06 3.109990327930080331e-06
3.222828814412224347e+03 2.024937292548105177e+02 2.211925234296858207e+02 3.109990327930080331e-06 3.109990327930080331e-06
2.978347823738040915e+03 2.024777209482449223e+02 2.225685184431269477e+02 3.109990327930080331e-06 3.109990327930080331e-06
2.753637260245096513e+03 2.024613212252567109e+02 2.236164669643787875e+02 3.109990327930080331e-06 3.109990327930080331e-06
2.546896035524940544e+03 2.024445206207956005e+02 2.247288432720015692e+02 3.109990327930080331e-06 3.109990327930080331e-06
2.356511422476819916e+03 2.024273094384438991e+02 2.257127259371816876e+02 3.109990327930080331e-06 3.109990327930080331e-06
2.181035828672895605e+03 2.024096777448206410e+02 2.264375409713318277e+02 3.109990327930080331e-06 3.109990327930080331e-06
2.019167577876794667e+03 2.023916153638486719e+02 2.270301551408504395e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.869734612324110003e+03 2.023731118708813597e+02 2.275034195812264386e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.731682058301586039e+03 2.023541565866860026e+02 2.277988154697309540e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.604062366215580823e+03 2.023347385712807238e+02 2.280627472521129278e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.486025594921313996e+03 2.023148466176201623e+02 2.281074238127701506e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.376807260930264420e+03 2.022944692451276296e+02 2.281541726899754678e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.275711205871254151e+03 2.022735946930691853e+02 2.279880217993876101e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.182089666732804972e+03 2.022522109137657935e+02 2.279019502508998016e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.095323534255357117e+03 2.022303055656401796e+02 2.274461791306611360e+02 3.109990327930080331e-06 3.109990327930080331e-06
1.014805301681356127e+03 2.022078660060939512e+02 2.265719752738712032e+02 3.109990327930080331e-06 3.109990327930080331e-06
9.399336269380023623e+02 2.021848792842113198e+02 2.249162498117765381e+02 3.109990327930080331e-06 3.109990327930080331e-06
8.701205028754778823e+02 2.021613321332840201e+02 2.223725901756146470e+02 3.109990327930080331e-06 3.109990327930080331e-06
8.047980159702601668e+02 2.021372109631549279e+02 2.188283306565609507e+02 3.109990327930080331e-06 3.109990327930080331e-06
